제목,내용,블로거,작성일,링크,분류,신뢰도,신뢰등급,협찬표기,내돈내산표기,과장수,과장의심,긍정수,부정수,긍정점수,단점있음,감정의심,시간의심,블로거의심,블로거리뷰수,구조의심,홍보수
강남역 파스타 솔직후기,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방16,20250415,https://blog.naver.com/test/0,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,0
직접 가본 후기,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방6,20250508,https://blog.naver.com/test/1,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,5,False,0
완전 대박 무조건 가세요,업체로부터 제공받아 방문했습니다 음식도 맛있고 서비스도 훌륭하고 완전 만족,강남맛왕,20250402,https://blog.naver.com/test/2,정당한 협찬,20,의심,True,False,4,True,4,0,1.0,False,True,False,True,14,False,0
점심특선 추천,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방27,20250415,https://blog.naver.com/test/3,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,7,False,0
분위기 카페같은 식당,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방11,20250428,https://blog.naver.com/test/4,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,9,False,0
재방문 의사 없음,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방7,20250406,https://blog.naver.com/test/5,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,6,False,0
내돈내산 진짜 맛있어요 최고 대박 강추,내돈내산 직접 가봤는데 진짜 최고 대박 완전 추천 인생맛집이에요 강추,맛집헌터,20250430,https://blog.naver.com/test/6,내돈내산 위장,25,의심,False,True,11,True,5,0,1.0,False,True,True,True,12,False,0
오랜만에 맛집발견,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방36,20250419,https://blog.naver.com/test/7,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
점심특선 추천,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방3,20250415,https://blog.naver.com/test/8,일반 리뷰,75,신뢰,False,False,1,False,2,0,1.0,False,True,False,False,1,False,0
혼밥하기 좋은곳,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방7,20250425,https://blog.naver.com/test/9,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,6,False,1
혼밥하기 좋은곳,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방11,20250424,https://blog.naver.com/test/10,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,9,False,0
제공받고 방문한 맛집,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,서울푸디,20250405,https://blog.naver.com/test/11,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,6,False,0
재방문 의사 없음,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방30,20250425,https://blog.naver.com/test/12,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,7,False,0
직접 가본 후기,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방15,20250421,https://blog.naver.com/test/13,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,4,False,0
강남역 파스타 솔직후기,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방26,20250418,https://blog.naver.com/test/14,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,5,False,0
앰배서더 활동 후기,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,강남맛왕,20250502,https://blog.naver.com/test/15,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,14,False,0
직접 가본 후기,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방10,20250417,https://blog.naver.com/test/16,일반 리뷰,75,신뢰,False,False,1,False,1,0,1.0,False,True,False,False,2,False,1
웨이팅 길지만 갈만함,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방17,20250508,https://blog.naver.com/test/17,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,3,False,0
오랜만에 맛집발견,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방15,20250409,https://blog.naver.com/test/18,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,4,False,0
인생맛집 진짜 최고 강추!!,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,강남맛왕,20250411,https://blog.naver.com/test/19,정당한 협찬,20,의심,True,False,8,True,3,0,1.0,False,True,False,True,14,False,0
오랜만에 맛집발견,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방39,20250430,https://blog.naver.com/test/20,뒷광고 의심,55,주의,False,False,0,False,2,0,1.0,False,True,True,True,3,False,0
혼밥하기 좋은곳,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방8,20250505,https://blog.naver.com/test/21,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,7,False,0
가성비 강남맛집,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방19,20250428,https://blog.naver.com/test/22,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,3,False,0
점심특선 추천,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방33,20250412,https://blog.naver.com/test/23,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,4,False,0
분위기좋은데 음식 보통,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방39,20250413,https://blog.naver.com/test/24,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,3,False,0
친구추천 괜찮았어요,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방34,20250401,https://blog.naver.com/test/25,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,4,False,0
회사 점심 자주가는곳,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방20,20250416,https://blog.naver.com/test/26,일반 리뷰,80,신뢰,False,False,0,False,1,1,0.5,True,False,True,True,8,False,0
메뉴 가격 비싼편,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방6,20250502,https://blog.naver.com/test/27,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,5,False,0
웨이팅 길지만 갈만함,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방9,20250501,https://blog.naver.com/test/28,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,6,False,0
혼밥하기 좋은곳,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방28,20250414,https://blog.naver.com/test/29,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,4,False,0
오랜만에 맛집발견,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방29,20250504,https://blog.naver.com/test/30,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,4,False,0
체험단 솔직후기,진짜 최고 완벽 대박 모든 메뉴가 다 맛있고 사장님도 완전 친절하시고 분위기도 최고 강추,강남맛왕,20250506,https://blog.naver.com/test/31,정당한 협찬,20,의심,True,False,7,True,6,0,1.0,False,True,False,True,14,False,0
강남역 파스타 솔직후기,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집헌터,20250404,https://blog.naver.com/test/32,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,12,False,0
인생맛집 진짜 최고 강추!!,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,강남맛왕,20250416,https://blog.naver.com/test/33,정당한 협찬,10,의심,True,False,8,True,3,0,1.0,False,True,True,True,14,False,0
재방문 의사 없음,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방9,20250507,https://blog.naver.com/test/34,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,6,False,0
사장님 친절,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방13,20250407,https://blog.naver.com/test/35,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,3,False,0
가성비 강남맛집,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방27,20250430,https://blog.naver.com/test/36,뒷광고 의심,55,주의,False,False,0,False,3,0,1.0,False,True,True,True,7,False,0
직접 가본 후기,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방4,20250426,https://blog.naver.com/test/37,일반 리뷰,75,신뢰,False,False,0,False,1,0,1.0,False,True,False,False,2,False,0
회사 점심 자주가는곳,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방13,20250413,https://blog.naver.com/test/38,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,3,False,1
역대급 레전드 맛집,체험단으로 방문 인생 파스타 레전드급 맛집 무조건 가세요 후회없음,맛집탐방5,20250429,https://blog.naver.com/test/39,정당한 협찬,45,주의,True,False,5,True,0,1,0.0,True,False,False,True,9,False,0
협찬받아 방문 강추합니다,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,맛집헌터,20250416,https://blog.naver.com/test/40,정당한 협찬,10,의심,True,False,5,True,3,0,1.0,False,True,True,True,12,False,0
사장님 친절,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방26,20250404,https://blog.naver.com/test/41,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,5,False,1
오랜만에 맛집발견,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방30,20250419,https://blog.naver.com/test/42,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,7,False,0
점심특선 추천,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,강남맛왕,20250502,https://blog.naver.com/test/43,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,14,False,0
체험단 솔직후기,진짜 최고 완벽 대박 모든 메뉴가 다 맛있고 사장님도 완전 친절하시고 분위기도 최고 강추,맛집탐방35,20250404,https://blog.naver.com/test/44,정당한 협찬,20,의심,True,False,7,True,6,0,1.0,False,True,False,True,3,False,0
앰배서더 활동 후기,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,맛집탐방34,20250411,https://blog.naver.com/test/45,정당한 협찬,35,의심,True,False,2,False,2,0,1.0,False,True,False,True,4,False,0
회사 점심 자주가는곳,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방5,20250509,https://blog.naver.com/test/46,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,9,False,0
재방문 의사 없음,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방8,20250507,https://blog.naver.com/test/47,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,7,False,0
강남역 파스타 솔직후기,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방6,20250427,https://blog.naver.com/test/48,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,5,False,0
재방문 의사 없음,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방16,20250417,https://blog.naver.com/test/49,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,6,False,0
제공받고 방문한 맛집,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,맛집헌터,20250401,https://blog.naver.com/test/50,정당한 협찬,35,의심,True,False,2,False,2,0,1.0,False,True,False,True,12,False,0
메뉴 가격 비싼편,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방5,20250505,https://blog.naver.com/test/51,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,9,False,0
친구추천 괜찮았어요,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방5,20250416,https://blog.naver.com/test/52,일반 리뷰,80,신뢰,False,False,1,False,2,1,0.6666666666666666,True,False,True,True,9,False,0
사장님 친절,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방20,20250510,https://blog.naver.com/test/53,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,8,False,0
웨이팅 길지만 갈만함,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,강남맛왕,20250407,https://blog.naver.com/test/54,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,14,False,0
데이트 맛집 추천,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방36,20250410,https://blog.naver.com/test/55,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,4,False,0
재방문 의사 없음,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방14,20250417,https://blog.naver.com/test/56,일반 리뷰,100,신뢰,False,False,0,False,1,1,0.5,True,False,False,False,2,False,0
데이트 맛집 추천,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방6,20250428,https://blog.naver.com/test/57,일반 리뷰,90,신뢰,False,False,1,False,2,1,0.6666666666666666,True,False,False,True,5,False,0
내돈내산 진짜 맛있어요 최고 대박 강추,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,서울푸디,20250411,https://blog.naver.com/test/58,정당한 협찬,20,의심,True,True,8,True,5,0,1.0,False,True,False,True,6,False,0
오랜만에 맛집발견,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방1,20250408,https://blog.naver.com/test/59,일반 리뷰,90,신뢰,False,False,0,False,0,0,0.5,False,False,False,False,1,False,0
점심특선 추천,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방35,20250403,https://blog.naver.com/test/60,일반 리뷰,90,신뢰,False,False,1,False,1,2,0.3333333333333333,True,False,False,True,3,False,0
친구추천 괜찮았어요,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방9,20250403,https://blog.naver.com/test/61,뒷광고 의심,65,주의,False,False,1,False,3,0,1.0,False,True,False,True,6,False,0
데이트 맛집 추천,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방23,20250414,https://blog.naver.com/test/62,일반 리뷰,100,신뢰,False,False,1,False,2,1,0.6666666666666666,True,False,False,False,2,False,0
가성비 강남맛집,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방27,20250510,https://blog.naver.com/test/63,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,7,False,0
재방문 의사 없음,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방12,20250427,https://blog.naver.com/test/64,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,4,False,0
내돈내산 진짜 맛있어요 최고 대박 강추,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,강남맛왕,20250416,https://blog.naver.com/test/65,정당한 협찬,10,의심,True,True,8,True,5,0,1.0,False,True,True,True,14,False,0
완전 대박 무조건 가세요,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,맛집탐방31,20250415,https://blog.naver.com/test/66,정당한 협찬,20,의심,True,False,5,True,2,0,1.0,False,True,False,True,4,False,0
사장님 친절,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방20,20250415,https://blog.naver.com/test/67,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,8,False,0
체험단 솔직후기,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,맛집헌터,20250418,https://blog.naver.com/test/68,정당한 협찬,35,의심,True,False,2,False,2,0,1.0,False,True,False,True,12,False,0
오랜만에 맛집발견,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방22,20250402,https://blog.naver.com/test/69,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,4,False,0
분위기좋은데 음식 보통,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방38,20250417,https://blog.naver.com/test/70,일반 리뷰,90,신뢰,False,False,0,False,1,2,0.3333333333333333,True,False,False,True,4,False,0
내돈내산 완전 추천 인생맛집,체험단으로 방문 인생 파스타 레전드급 맛집 무조건 가세요 후회없음,맛집탐방21,20250428,https://blog.naver.com/test/71,정당한 협찬,55,주의,True,True,6,True,1,1,0.5,True,False,False,False,2,False,0
메뉴 가격 비싼편,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방17,20250403,https://blog.naver.com/test/72,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,3,False,1
협찬받아 방문 강추합니다,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,강남맛왕,20250413,https://blog.naver.com/test/73,정당한 협찬,20,의심,True,True,7,True,3,0,1.0,False,True,False,True,14,False,0
직접 가본 후기,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방40,20250421,https://blog.naver.com/test/74,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,5,False,0
분위기좋은데 음식 보통,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방20,20250427,https://blog.naver.com/test/75,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,8,False,0
분위기좋은데 음식 보통,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방9,20250413,https://blog.naver.com/test/76,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,0
오랜만에 맛집발견,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방40,20250507,https://blog.naver.com/test/77,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,5,False,0
혼밥하기 좋은곳,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방20,20250419,https://blog.naver.com/test/78,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,8,False,0
메뉴 가격 비싼편,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,서울푸디,20250421,https://blog.naver.com/test/79,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,6,False,0
직접 가본 후기,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방33,20250501,https://blog.naver.com/test/80,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,1
분위기좋은데 음식 보통,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,강남맛왕,20250510,https://blog.naver.com/test/81,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,14,False,0
체험단 솔직후기,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,맛집헌터,20250410,https://blog.naver.com/test/82,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,12,False,0
소정의 원고료 받고 작성,내돈내산 직접 가봤는데 진짜 최고 대박 완전 추천 인생맛집이에요 강추,맛집탐방5,20250430,https://blog.naver.com/test/83,정당한 협찬,10,의심,True,True,7,True,4,0,1.0,False,True,True,True,9,False,0
메뉴 가격 비싼편,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방25,20250502,https://blog.naver.com/test/84,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,1
직접 가본 후기,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방7,20250428,https://blog.naver.com/test/85,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,6,False,0
협찬받아 방문 강추합니다,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,맛집헌터,20250408,https://blog.naver.com/test/86,정당한 협찬,20,의심,True,False,3,True,3,0,1.0,False,True,False,True,12,False,0
소정의 원고료 받고 작성,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,맛집탐방36,20250509,https://blog.naver.com/test/87,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,4,False,0
데이트 맛집 추천,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방40,20250503,https://blog.naver.com/test/88,뒷광고 의심,65,주의,False,False,2,False,1,0,1.0,False,True,False,True,5,False,1
웨이팅 길지만 갈만함,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방11,20250501,https://blog.naver.com/test/89,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,9,False,1
재방문 의사 없음,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방34,20250502,https://blog.naver.com/test/90,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
회사 점심 자주가는곳,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방16,20250418,https://blog.naver.com/test/91,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,0
웨이팅 길지만 갈만함,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방9,20250410,https://blog.naver.com/test/92,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,0
친구추천 괜찮았어요,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방5,20250427,https://blog.naver.com/test/93,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,9,False,1
사장님 친절,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방4,20250414,https://blog.naver.com/test/94,일반 리뷰,75,신뢰,False,False,0,False,2,0,1.0,False,True,False,False,2,False,0
분위기 카페같은 식당,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방2,20250507,https://blog.naver.com/test/95,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,3,False,0
가성비 강남맛집,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방25,20250427,https://blog.naver.com/test/96,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,6,False,0
분위기좋은데 음식 보통,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방32,20250402,https://blog.naver.com/test/97,일반 리뷰,75,신뢰,False,False,0,False,2,0,1.0,False,True,False,False,2,False,0
직접 가본 후기,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방11,20250430,https://blog.naver.com/test/98,뒷광고 의심,55,주의,False,False,0,False,2,0,1.0,False,True,True,True,9,False,0
웨이팅 길지만 갈만함,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방26,20250508,https://blog.naver.com/test/99,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,5,False,0
